Sensor name,Sensor price,Rating
SparkFun Air Quality Breakout - CCS811,$20.95,4.4 stars
MyoWare Muscle Sensor Development Kit,$82.95,4 stars
MyoWare Muscle Sensor,$37.95,3.8 stars
SparkFun Single Lead Heart Rate Monitor - AD8232,$19.95,4 stars
Fingerprint Scanner - TTL (GT-521F52),$54.95,4 stars
Fingerprint Scanner - TTL (GT-521F32),$35.95,5 stars
Pulse Sensor,$24.95,4.3 stars
LPG Gas Sensor - MQ-6,$4.95,Not evaluated
NeuroSky MindWave Mobile 2,$99.95,Not evaluated
SparkFun Soil Moisture Sensor (with Screw Terminals),$6.95,4 stars
SparkFun Soil Moisture Sensor,$5.95,4.3 stars
Biomedical Sensor Pad (10 pack),$7.95,3.7 stars
Dissolved Oxygen Kit,$249.95,5 stars
Sensor Cable - Electrode  Pads (3 connector),$4.95,4.3 stars
SparkFun Particle Sensor Breakout - MAX30105,$13.95,5 stars
BITalino (r)evolution Board Kit,$209.95,Not evaluated
Electrical Conductivity Kit,$199.95,4 stars
pH Sensor Kit,$149.95,4.5 stars
Alcohol Gas Sensor - MQ-3,$4.95,5 stars
MyoWare LED Shield,$26.95,Not evaluated
Carbon Monoxide Sensor - MQ-7,$7.25,Not evaluated
Hydrogen Gas Sensor - MQ-8,$7.95,Not evaluated
MyoWare Cable Shield,$4.95,Not evaluated
Methane CNG Gas Sensor - MQ-4,$4.95,4 stars
MyoWare Power Shield,$4.50,4 stars
Gas Sensor Breakout,$0.95,4 stars
Optical Dust Sensor - GP2Y1010AU0F,$11.95,2.3 stars
MyoWare Proto Shield,$2.95,Not evaluated
EZO Carrier Board,$46.00,Not evaluated
Vernier Sensor - pH Sensor,$78.95,4 stars
Plessey EPIC Electrocardiograph Sensor (PS25201B),$238.95,Not evaluated
